Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Rio das ostras,Enfermagem,Bacharelado,Integral,60.0,1941.0,2019,32.35
Rio das ostras,Engenharia de produção,Bacharelado,Integral,70.0,580.0,2019,8.285714285714286
Rio das ostras,Produção cultural,Bacharelado,Integral,70.0,744.0,2019,10.628571428571428
Rio das ostras,Psicologia,Bacharelado,Integral,80.0,2625.0,2019,32.8125
Rio das ostras,Serviço social,Bacharelado,Noturno,70.0,1606.0,2019,22.942857142857143
Santo antônio de pádua,Ciências naturais,Licenciatura,Noturno,50.0,276.0,2019,5.52
Santo antônio de pádua,Computação,Licenciatura,Integral,50.0,362.0,2019,7.24
Santo antônio de pádua,Física,Licenciatura,Noturno,50.0,83.0,2019,1.66
Santo antônio de pádua,Interdisciplinar em educação no campo,Licenciatura,Integral,120.0,160.0,2019,1.3333333333333333
Santo antônio de pádua,Matemática,Bacharelado,Noturno,50.0,280.0,2019,5.6
Santo antônio de pádua,Matemática,Licenciatura,Noturno,40.0,255.0,2019,6.375
Santo antônio de pádua,Pedagogia,Licenciatura,Noturno,50.0,583.0,2019,11.66
Volta redonda,Administração,Bacharelado,Noturno,120.0,1877.0,2019,15.641666666666667
Volta redonda,Administração pública,Bacharelado,Integral,42.0,575.0,2019,13.69047619047619
Volta redonda,Ciências contábeis,Bacharelado,Matutino,40.0,285.0,2019,7.125
Volta redonda,Ciências contábeis,Bacharelado,Noturno,80.0,989.0,2019,12.3625
Volta redonda,Direito,Bacharelado,Integral,80.0,2104.0,2019,26.3
Volta redonda,Engenharia de agronegócios,Bacharelado,Integral,88.0,561.0,2019,6.375
Volta redonda,Engenharia de materiais,Bacharelado,Integral,40.0,259.0,2019,6.475
Volta redonda,Engenharia de produção,Bacharelado,Integral,88.0,909.0,2019,10.329545454545455
Volta redonda,Engenharia mecânica,Bacharelado,Integral,88.0,932.0,2019,10.590909090909092
Volta redonda,Engenharia metalúrgica,Bacharelado,Integral,50.0,399.0,2019,7.98
Volta redonda,Física,Bacharelado,Integral,142.0,667.0,2019,4.697183098591549
Volta redonda,Matemática,Bacharelado,Integral,142.0,722.0,2019,5.084507042253521
Volta redonda,Psicologia,Bacharelado,Integral,80.0,2582.0,2019,32.275
