Cidade,eMEC,AnoCriação,Área,Fator Retenção,Peso Grupo,Duração Padrão,Curso,Grau,TURNO,Vagas 2019,Candidatos 2019
Rio das Ostras,382876,2004,CH1,"0,1000",1,5,Psicologia,Bac,Int,80,2625
Rio das Ostras,82834,2004,CSA,"0,1200",1,4,Serviço Social,Bac,Not,70,1606
Santo Antônio de Pádua,1145029,2012,CET,"0,1325",2,4,Ciências Naturais,Lic,Not,50,276
Santo Antônio de Pádua,1145037,2011,CE2,"0,1325","1,5",4,Computação,Lic,Int,50,362
Santo Antônio de Pádua,1123027,2010,CE1,"0,1325","1,5",4,Física,Lic,Not,50,83
Santo Antônio de Pádua,1303424,2014,BI4,"0,1000",1,4,Interdisciplinar Em Educação No Campo,Lic,Int,120,160
Santo Antônio de Pádua,5000477,2011,CE1,"0,1325","1,5",4,Matemática,Bac,Not,50,280
Santo Antônio de Pádua,12713,1985,CE1,"0,1325","1,5",4,Matemática,Lic,Not,40,255
Santo Antônio de Pádua,123704,2009,CH,"0,1000",1,4,Pedagogia,Lic,Not,50,583
,,,,,,,,,,,
Volta Redonda,90475,2005,CSA,"0,1200",1,4,Administração,Bac,Not,120,1877
Volta Redonda,1125326,2010,CSA,"0,1200",1,4,Administração Pública,Bac,Int,42,575
,,,,,,,,,,,
Volta Redonda,1107861,2009,CSA,"0,1200",1,4,Ciências Contábeis,Bac,Mat,40,285
Volta Redonda,1107861,2009,CSA,"0,1200",1,4,Ciências Contábeis,Bac,Not,80,989
Volta Redonda,1122220,2011,CSB,"0,1200",1,5,Direito,Bac,Int,80,2104
Volta Redonda,90471,2005,ENG,"0,0820",2,5,Engenharia de Agronegócios,Bac,Int,88,561
Volta Redonda,1304766,2018,ENG,"0,0820",2,5,Engenharia de Materiais,Bac,Int,40,259
Volta Redonda,44374,2001,ENG,"0,0820",2,5,Engenharia de Produção,Bac,Int,88,909
Volta Redonda,44370,2001,ENG,"0,0820",2,5,Engenharia Mecânica,Bac,Int,88,932
Volta Redonda,12712,1961,ENG,"0,0820",2,5,Engenharia Metalúrgica,Bac,Int,50,399
Volta Redonda,1125664,2010,CE1,"0,1325","1,5",4,Física,Bac,Int,142,667
Volta Redonda,1125307,2010,CE1,"0,1325","1,5",4,Matemática,Bac,Int,142,722
Volta Redonda,5000478,2011,CH1,"0,1000",1,5,Psicologia,Bac,Int,80,2582
Volta Redonda,1100002,2010,CET,"0,1325",2,4,Química,Bac,Int,62,404
Volta Redonda,1100003,2010,CET,"0,1325",2,4,Química,Lic,Int,62,335
